         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 klass.py:1(<module>)
 1618/212    0.005    0.000    0.015    0.000 basevalidators.py:27(to_scalar_or_list)
      215    0.002    0.000    0.015    0.000 main.py:154(putItem)
     1012    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      507    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.014    0.014 terminal256.py:1(<module>)
        1    0.000    0.000    0.014    0.014 controls.py:1(<module>)
        1    0.000    0.000    0.014    0.014 configurable.py:1(<module>)
        1    0.000    0.000    0.013    0.013 python.py:1(<module>)
  608/360    0.008    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FF80F230FD0}
        1    0.000    0.000    0.013    0.013 key_bindings.py:1(<module>)
  238/104    0.002    0.000    0.013    0.000 basedatatypes.py:4439(_get_child_props)
      507    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
        1    0.000    0.000    0.012    0.012 grammar_parser.py:1(<module>)
        2    0.000    0.000    0.012    0.006 basedatatypes.py:2942(_perform_plotly_update)
      241    0.002    0.000    0.012    0.000 typing.py:1376(__init__)
        2    0.000    0.000    0.012    0.006 basedatatypes.py:2619(_perform_plotly_relayout)
       18    0.001    0.000    0.012    0.001 _textfont.py:373(__init__)
        1    0.000    0.000    0.012    0.012 run_in_terminal.py:1(<module>)
        2    0.000    0.000    0.012    0.006 _utils.py:6(validate_coerce_fig_to_dict)
        2    0.000    0.000    0.012    0.006 basedatatypes.py:3285(to_dict)
        1    0.000    0.000    0.012    0.012 basic.py:70(BasicMagics)
      106    0.002    0.000    0.012    0.000 basedatatypes.py:49(_str_to_dict_path_full)
      704    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.011    0.011 vi.py:1(<module>)
      212    0.001    0.000    0.011    0.000 basevalidators.py:40(<listcomp>)
        2    0.000    0.000    0.011    0.006 config.py:1(<module>)
       19    0.000    0.000    0.011    0.001 decorator.py:196(create)
        1    0.000    0.000    0.011    0.011 app.py:1(<module>)
        1    0.000    0.000    0.010    0.010 pylab.py:1(<module>)
        1    0.000    0.000    0.010    0.010 events.py:1(<module>)
        1    0.000    0.000    0.010    0.010 registry.py:1(<module>)
        1    0.000    0.000    0.010    0.010 names.py:1(<module>)
     2268    0.002    0.000    0.010    0.000 basedatatypes.py:1819(_str_to_dict_path)
      272    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.010    0.010 diff.py:1(<module>)
        1    0.000    0.000    0.010    0.010 pdb.py:1(<module>)
       23    0.001    0.000    0.009    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.009    0.009 execution.py:165(ExecutionMagics)
        1    0.000    0.000    0.009    0.009 my_getattr_static.py:1(<module>)
      507    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        2    0.000    0.000    0.009    0.005 _layout.py:3827(template)
     4389    0.006    0.000    0.009    0.000 _parser.py:261(get)
        2    0.000    0.000    0.009    0.005 basedatatypes.py:5591(to_plotly_json)
        1    0.000    0.000    0.009    0.009 syntax_tree.py:1(<module>)
       20    0.000    0.000    0.009    0.000 basedatatypes.py:2662(_is_key_path_compatible)
       15    0.000    0.000    0.009    0.001 decorator.py:224(decorate)
    12916    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.009    0.009 lexer.py:1(<module>)
        7    0.000    0.000    0.009    0.001 dataclasses.py:1204(dataclass)
        7    0.000    0.000    0.008    0.001 dataclasses.py:1221(wrap)
        7    0.001    0.000    0.008    0.001 dataclasses.py:884(_process_class)
        2    0.000    0.000    0.008    0.004 tree.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pylab.py:37(PylabMagics)
    32461    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.008    0.008 tokenize.py:1(<module>)
      100    0.001    0.000    0.008    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.008    0.008 prompt.py:1(<module>)
       36    0.001    0.000    0.008    0.000 argparse.py:516(_format_action)
       19    0.000    0.000    0.008    0.000 decorator.py:162(make)
        1    0.000    0.000    0.008    0.008 magic_arguments.py:1(<module>)
     3367    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.008    0.008 history.py:37(HistoryMagics)
       64    0.000    0.000    0.008    0.000 basedatatypes.py:157(_check_path_in_prop_tree)
  703/383    0.001    0.000    0.008    0.000 {built-in method _functools.reduce}
    82/61    0.000    0.000    0.007    0.000 typing.py:500(__getitem__)
        1    0.000    0.000    0.007    0.007 arguments.py:1(<module>)
        1    0.000    0.000    0.007    0.007 keys.py:1(<module>)
